,Producto,Cantidad,Venta,Etiquetas
248,Producto 174,5.3672710465224883e-05,0.00011922391546297575,No Exitoso
249,Producto 393,3.8702016430503066e-05,5.0785505188854924e-05,No Exitoso
250,Producto 418,8.90479059991231e-05,0.0002596642204429547,No Exitoso
251,Producto 427,0.0017743044781892523,0.0026049339300614313,Comun
252,Producto 43,0.007540794032304322,0.0033633324160286834,Exitoso
253,Producto 465,0.00014948515228744452,0.000689625645329125,No Exitoso
254,Producto 114,0.00046409151507637627,0.0005855217454917475,No Exitoso
255,Producto 285,0.0038812910460389893,0.0032458630853217994,Comun
256,Producto 555,0.00013739770302978024,0.0007797845927132372,No Exitoso
257,Producto 508,0.004435761195473131,0.005523119408674554,Comun
258,Producto 357,0.002328774627623394,0.0037652011789732873,Comun
259,Producto 511,0.0002906532523333769,0.0004971318124733009,No Exitoso
260,Producto 121,0.0007233617569517807,0.0008177664549502593,No Exitoso
261,Producto 35,0.004768443285133615,0.003987774647681068,Comun
262,Producto 13,0.00022178805977365654,0.00018959962149181305,No Exitoso
263,Producto 484,0.0014416223885287676,0.0015806838009154414,No Exitoso
264,Producto 599,0.00022178805977365654,0.000321495010355683,No Exitoso
265,Producto 96,8.716270749104702e-05,0.00043202014655336485,No Exitoso
266,Producto 216,0.002328774627623394,0.00242357777037361,Comun
267,Producto 124,0.0008708508167012623,0.0009612763980192651,No Exitoso
268,Producto 390,0.00576648955411507,0.002571960082845464,Comun
269,Producto 131,0.0006653641793209696,0.0008037375258892075,No Exitoso
270,Producto 339,0.00040864450013296217,0.00042168268902231576,No Exitoso
271,Producto 288,0.0002914295105425847,0.0006481799625298084,No Exitoso
272,Producto 540,0.0010072504734620611,0.0010708157889848494,No Exitoso
273,Producto 223,4.779532688122298e-05,6.492964201615174e-05,No Exitoso
274,Producto 99,8.117442987715829e-05,0.00014635220620669152,No Exitoso
275,Producto 29,0.002106986567849737,0.00309335904194795,Comun
276,Producto 289,0.00025062050754423186,0.0006551947543447421,No Exitoso
277,Producto 335,0.007984370151851635,0.013354408122466832,Exitoso
278,Producto 134,0.00014793263586902893,0.00035143424986872464,No Exitoso
279,Producto 507,0.0015525164184155957,0.0014426058156985775,Comun
280,Producto 67,0.00019151398961455242,0.0003139599220755323,No Exitoso
281,Producto 552,0.0005949464703428336,0.0006731903469792694,No Exitoso
282,Producto 395,0.0007437662584509572,0.0007168527599164408,No Exitoso
283,Producto 578,6.210065673662384e-05,0.000246023692992548,No Exitoso
284,Producto 583,9.492528958312499e-05,0.00011091534970099846,No Exitoso
285,Producto 24,0.0029941388069443632,0.0004451469374155611,Comun
286,Producto 598,0.0013307283586419393,0.0008902938748311222,No Exitoso
287,Producto 278,0.0014416223885287676,0.0011252325362448904,No Exitoso
288,Producto 129,0.0026614567172838785,0.0006924507915353172,Comun
289,Producto 322,0.004103079105812646,0.0035075929975985414,Comun
290,Producto 320,4.491208210416545e-05,0.00026584145768227495,No Exitoso
291,Producto 457,0.005433807464454586,0.005856979611736225,Comun
292,Producto 554,0.0008130750271302248,0.0009693452816508406,No Exitoso
293,Producto 388,0.00015203571497484156,0.00014807483655887043,No Exitoso
294,Producto 379,0.00026304063889155666,0.0010746957104831663,No Exitoso
295,Producto 364,0.002883244777057535,0.0050903376639649806,Comun
296,Producto 180,0.00027823312098605214,0.0002920315947449397,No Exitoso
297,Producto 439,0.0004645350911959236,0.0005317652693083923,No Exitoso
298,Producto 488,0.00576648955411507,0.005143920165690928,Comun
299,Producto 455,0.005322913434567757,0.00039568616659160983,Comun
300,Producto 296,0.008206158211625292,0.006100161734953985,Exitoso
301,Producto 425,0.00010723452690056293,0.00019998279690026257,No Exitoso
302,Producto 271,0.0006653641793209696,0.0007171811769472929,No Exitoso
303,Producto 26,0.001219834328755111,0.0012014845579318154,No Exitoso
304,Producto 120,7.507525823338274e-05,0.0004403062467971604,No Exitoso
305,Producto 227,0.0029941388069443632,0.002448308155785586,Comun
306,Producto 386,2.8610659710801696e-05,0.00010663280193432892,No Exitoso
307,Producto 225,0.00013107674332623102,0.0005435881859728273,No Exitoso
308,Producto 315,0.00255056268739705,0.0027491945116312894,Comun
309,Producto 56,0.00022755454932777162,0.0004743988063087842,No Exitoso
310,Producto 65,0.0077625820920779786,0.0008655634894191466,Exitoso
311,Producto 103,0.007429900002417494,0.006213509334758873,Comun
312,Producto 594,0.0011089402988682827,0.00041217309019959356,No Exitoso
313,Producto 389,0.0005259703837532265,0.0007641926124748503,No Exitoso
314,Producto 392,0.0009980462689814543,0.0012427018669517746,No Exitoso
315,Producto 80,0.00024163809112339878,0.00041988914258538345,No Exitoso
316,Producto 400,0.0007560754957683951,0.0007805227875843702,No Exitoso
317,Producto 479,0.0019960925379629087,0.0012983452341287197,Comun
318,Producto 305,0.00029109682845292423,0.0010081938569327313,No Exitoso
319,Producto 307,0.0006543856703621736,0.0005480241970354964,No Exitoso
320,Producto 517,0.0005950573643727204,0.0006252393901341194,No Exitoso
321,Producto 572,0.0009980462689814543,5.5643367176945135e-05,No Exitoso
322,Producto 93,0.005433807464454586,0.001413753699384606,Comun
323,Producto 513,0.0036595029862653327,0.006324796069112764,Comun
324,Producto 221,0.004213973135699474,0.006813221180999282,Comun
325,Producto 435,0.001219834328755111,0.0021309348763318987,Comun
326,Producto 239,0.0035486089563785046,0.0005935292498874148,Comun
327,Producto 314,0.003326820896604848,0.0012365192705987807,Comun
328,Producto 473,0.001219834328755111,0.0019722482366050552,No Exitoso
329,Producto 77,5.6888637331942905e-05,0.00010215544963240398,No Exitoso
